assetId,category,currentFilename,currentSvgPath,currentWebpPath,displayTitle,proposedCleanStem,proposedSvgObjectKey,proposedWebpObjectKey,reasonCodes,confidence,likelyHubPages,ownerDecision,ownerNotes
dragons__ice-dragon-playing-card__d7e0eb6895,dragons,ice-dragon-playing-card-d7e0eb6895.svg,pipeline/r2-upload/coloring-pages/svg/dragons/ice-dragon-playing-card-d7e0eb6895.svg,pipeline/r2-upload/coloring-pages/webp/dragons/ice-dragon-playing-card-d7e0eb6895.webp,Ice Dragon Playing Card,ice-dragon-playing-card-d7e0eb6895,coloring-pages/svg/dragons/ice-dragon-playing-card-d7e0eb6895.svg,coloring-pages/webp/dragons/ice-dragon-playing-card-d7e0eb6895.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages|/coloring-pages/fantasy|/coloring-pages/fantasy-creatures|/coloring-pages/fantasy-dragons|/coloring-pages/playing-cards,,
emoji__u-1f601-beaming-face-with-smiling-eyes__97089f2c44,emoji,u-1f601-beaming-face-with-smiling-eyes-97089f2c44.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f601-beaming-face-with-smiling-eyes-97089f2c44.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f601-beaming-face-with-smiling-eyes-97089f2c44.webp,U+1F601 Beaming Face With Smiling Eyes,u-1f601-beaming-face-with-smiling-eyes-97089f2c44,coloring-pages/svg/emoji/u-1f601-beaming-face-with-smiling-eyes-97089f2c44.svg,coloring-pages/webp/emoji/u-1f601-beaming-face-with-smiling-eyes-97089f2c44.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
emoji__u-1f603-grinning-face-with-big-eyes__75c5ee095e,emoji,u-1f603-grinning-face-with-big-eyes-75c5ee095e.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f603-grinning-face-with-big-eyes-75c5ee095e.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f603-grinning-face-with-big-eyes-75c5ee095e.webp,U+1F603 Grinning Face With Big Eyes,u-1f603-grinning-face-with-big-eyes-75c5ee095e,coloring-pages/svg/emoji/u-1f603-grinning-face-with-big-eyes-75c5ee095e.svg,coloring-pages/webp/emoji/u-1f603-grinning-face-with-big-eyes-75c5ee095e.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
emoji__u-1f604-grinning-face-with-smiling-eyes__b02ac0053f,emoji,u-1f604-grinning-face-with-smiling-eyes-b02ac0053f.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f604-grinning-face-with-smiling-eyes-b02ac0053f.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f604-grinning-face-with-smiling-eyes-b02ac0053f.webp,U+1F604 Grinning Face With Smiling Eyes,u-1f604-grinning-face-with-smiling-eyes-b02ac0053f,coloring-pages/svg/emoji/u-1f604-grinning-face-with-smiling-eyes-b02ac0053f.svg,coloring-pages/webp/emoji/u-1f604-grinning-face-with-smiling-eyes-b02ac0053f.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
emoji__u-1f605-grinning-face-with-sweat__5348e43db7,emoji,u-1f605-grinning-face-with-sweat-5348e43db7.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f605-grinning-face-with-sweat-5348e43db7.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f605-grinning-face-with-sweat-5348e43db7.webp,U+1F605 Grinning Face With Sweat,u-1f605-grinning-face-with-sweat-5348e43db7,coloring-pages/svg/emoji/u-1f605-grinning-face-with-sweat-5348e43db7.svg,coloring-pages/webp/emoji/u-1f605-grinning-face-with-sweat-5348e43db7.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
emoji__u-1f606-grinning-squinting-face__e90484312c,emoji,u-1f606-grinning-squinting-face-e90484312c.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f606-grinning-squinting-face-e90484312c.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f606-grinning-squinting-face-e90484312c.webp,U+1F606 Grinning Squinting Face,u-1f606-grinning-squinting-face-e90484312c,coloring-pages/svg/emoji/u-1f606-grinning-squinting-face-e90484312c.svg,coloring-pages/webp/emoji/u-1f606-grinning-squinting-face-e90484312c.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
emoji__u-1f923-rolling-on-the-floor-laughing__ff3456346e,emoji,u-1f923-rolling-on-the-floor-laughing-ff3456346e.svg,pipeline/r2-upload/coloring-pages/svg/emoji/u-1f923-rolling-on-the-floor-laughing-ff3456346e.svg,pipeline/r2-upload/coloring-pages/webp/emoji/u-1f923-rolling-on-the-floor-laughing-ff3456346e.webp,U+1F923 Rolling On The Floor Laughing,u-1f923-rolling-on-the-floor-laughing-ff3456346e,coloring-pages/svg/emoji/u-1f923-rolling-on-the-floor-laughing-ff3456346e.svg,coloring-pages/webp/emoji/u-1f923-rolling-on-the-floor-laughing-ff3456346e.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages,,
flowers__ardening-in-field-of-flowers-gaillardia__d881b07c2c,flowers,ardening-in-field-of-flowers-gaillardia-d881b07c2c.svg,pipeline/r2-upload/coloring-pages/svg/flowers/ardening-in-field-of-flowers-gaillardia-d881b07c2c.svg,pipeline/r2-upload/coloring-pages/webp/flowers/ardening-in-field-of-flowers-gaillardia-d881b07c2c.webp,Ardening In Field Of Flowers Gaillardia,ardening-in-field-of-flowers-gaillardia-d881b07c2c,coloring-pages/svg/flowers/ardening-in-field-of-flowers-gaillardia-d881b07c2c.svg,coloring-pages/webp/flowers/ardening-in-field-of-flowers-gaillardia-d881b07c2c.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages|/coloring-pages/flowers|/coloring-pages/garden|/coloring-pages/garden-flowers|/coloring-pages/plants,,
flowers__ardening-in-field-of-flowers-hellebore__7148bfe0ba,flowers,ardening-in-field-of-flowers-hellebore-7148bfe0ba.svg,pipeline/r2-upload/coloring-pages/svg/flowers/ardening-in-field-of-flowers-hellebore-7148bfe0ba.svg,pipeline/r2-upload/coloring-pages/webp/flowers/ardening-in-field-of-flowers-hellebore-7148bfe0ba.webp,Ardening In Field Of Flowers Hellebore,ardening-in-field-of-flowers-hellebore-7148bfe0ba,coloring-pages/svg/flowers/ardening-in-field-of-flowers-hellebore-7148bfe0ba.svg,coloring-pages/webp/flowers/ardening-in-field-of-flowers-hellebore-7148bfe0ba.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages|/coloring-pages/flowers|/coloring-pages/garden|/coloring-pages/garden-flowers|/coloring-pages/plants,,
flowers__gardening-in-field-of-flowers-amaryllis__fad7128aa1,flowers,gardening-in-field-of-flowers-amaryllis-fad7128aa1.svg,pipeline/r2-upload/coloring-pages/svg/flowers/gardening-in-field-of-flowers-amaryllis-fad7128aa1.svg,pipeline/r2-upload/coloring-pages/webp/flowers/gardening-in-field-of-flowers-amaryllis-fad7128aa1.webp,Gardening In Field Of Flowers Amaryllis,gardening-in-field-of-flowers-amaryllis-fad7128aa1,coloring-pages/svg/flowers/gardening-in-field-of-flowers-amaryllis-fad7128aa1.svg,coloring-pages/webp/flowers/gardening-in-field-of-flowers-amaryllis-fad7128aa1.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages|/coloring-pages/flowers|/coloring-pages/garden|/coloring-pages/garden-flowers|/coloring-pages/plants,,
flowers__gardening-in-field-of-flowers-anemone__167008a22b,flowers,gardening-in-field-of-flowers-anemone-167008a22b.svg,pipeline/r2-upload/coloring-pages/svg/flowers/gardening-in-field-of-flowers-anemone-167008a22b.svg,pipeline/r2-upload/coloring-pages/webp/flowers/gardening-in-field-of-flowers-anemone-167008a22b.webp,Gardening In Field Of Flowers Anemone,gardening-in-field-of-flowers-anemone-167008a22b,coloring-pages/svg/flowers/gardening-in-field-of-flowers-anemone-167008a22b.svg,coloring-pages/webp/flowers/gardening-in-field-of-flowers-anemone-167008a22b.webp,category_mismatch|manual_review_required,manual_review,/coloring-pages|/coloring-pages/flowers|/coloring-pages/garden|/coloring-pages/garden-flowers|/coloring-pages/plants,,
