slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
plushie-bunny,Plushie Bunny Coloring Pages,11,plushie bunny,chibi__chibi-plushie-bunny-rabbit__10282745ac; holiday__holiday-birthday-celebration-plushie-bunny-rabbit-family__9b00c4a296; holiday__holiday-christmas-plushie-bunny__e4b1826cbf; holiday__holiday-christmas-plushie-bunny-rabbit__aba4ecf04e; holiday__holiday-christmas-plushie-bunny-rabbit-family__62405ec7d5; holiday__holiday-halloween-costume-plushie-bunny-rabbit-family__81cd406050; mandala-geometry-patterns__mandala-geometry-patterns-plushie-bunny__a00ba76a7e; mandala-geometry-patterns__mandala-geometry-patterns-plushie-bunny-rabbit__e5a8b11950,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-reindeer,Plushie Reindeer Coloring Pages,11,plushie reindeer,chibi__chibi-plushie-reindeer__471ae183de; chibi__chibi-plushie-reindeer-rudolph__7632633df0; holiday__holiday-birthday-celebration-plushie-reindeer-family__aa80cce2ec; holiday__holiday-christmas-plushie-reindeer__f22a73c74f; holiday__holiday-christmas-plushie-reindeer-family__e2ff6858a7; holiday__holiday-halloween-costume-plushie-reindeer-family__ff624a0102; mandala-geometry-patterns__mandala-geometry-patterns-plushie-reindeer__c6ad0ebbfb; mandala-geometry-patterns__mandala-geometry-patterns-plushie-reindeer-animals__2878a77170,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
pond,Pond Coloring Pages,11,pond,anime-girls__anime-girl-fishing-in-pond__01d020392f; christmas__holiday-christmas-snowman-ice-skating-on-frozen-pond-coloring-page__e25f11f9cf; insects__insects-dragonfly-hovering-over-pond__afff36c5fd; insects__insects-water-strider-on-pond__34e728422f; mandala-geometry-patterns__mandala-geometry-patterns-japan-koi-pond__302b573ed7; mandala-geometry-patterns__mandala-geometry-patterns-sushi-koi-pond-garden-scene__bdce531eeb; reptiles__reptiles-newt-swimming-in-pond__da2cdb2b6e; reptiles__reptiles-snapping-turtle-in-pond__d640061f47,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
royal,Royal Coloring Pages,11,royal,fantasy__fantasy-royal-griffin__70e628ceda; fantasy__fantasy-royal-griffin-pet__41a476d26b; midieval__midieval-fantasy-royal-banner__c29faea274; midieval__midieval-fantasy-royal-carriage__cb8638470f; midieval__midieval-fantasy-royal-courtyard__aad7a327d1; midieval__midieval-fantasy-royal-dungeon__d5d5f68dab; midieval__midieval-fantasy-royal-family__6cc1ba79c9; midieval__midieval-fantasy-royal-guard__0bbee59649,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
ruins,Ruins Coloring Pages,11,ruins,anime-girls__anime-girl-cursed-ruins-standoff__706e3072a4; chibi__chibi-midieval-fantasy-ancient-ruins__af5c9fe0a8; fantasy__fantasy-ruins-ancient-temple__0bf75a3646; fantasy__fantasy-ruins-ancient-temple-dragon-guard__0147add711; fantasy__fantasy-ruins-dragon-throne__b293c83a41; fantasy__fantasy-ruins-forgotten-city__fac5dfa99b; fantasy__fantasy-ruins-sky-temple__40e95663e1; fantasy__fantasy-scout-ruins-map__ca792b4ef3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
sea-otter,Sea Otter Coloring Pages,11,sea otter,chibi__chibi-plushie-sea-otter__2044e68336; holiday__holiday-birthday-celebration-plushie-sea-otter-family__7dab2e5461; holiday__holiday-christmas-plushie-sea-otter-family__837be3080f; holiday__holiday-halloween-costume-plushie-sea-otter-family__0b69af134e; mandala-geometry-patterns__mandala-geometry-patterns-plushie-animals-sea-otter__a8b3fc5d99; mandala-geometry-patterns__mandala-geometry-patterns-plushie-sea-otter__c9ca833719; mandala-geometry-patterns__mandala-geometry-patterns-plushie-sea-otter-animals__354f92ff35; plushie__plushie-sea-otter__996eb2521d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
style,Style Coloring Pages,11,style,anime-girls__anime-girl-cyber-punk-style__fc56c60658; chibi__chibi-holiday-halloween-vintage-halloween-postcard-style-scene-coloring-__fd3be2b3e7; fantasy__fantasy-monk-dragon-style__c9ca8dbbf0; homes__homes-cape-cod-style-house__901a62a713; homes__homes-cape-cod-style-house-with-dormers__82f772c641; homes__homes-colonial-style-house-with-pillars__9280377f9d; homes__homes-craftsman-style-house-with-porch__1aa026dbd4; homes__homes-mushroom-house-fantasy-style__8cadaf8b39,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
sushi-chef,Sushi Chef Coloring Pages,11,sushi chef,mandala-geometry-patterns__mandala-geometry-patterns-japan-sushi-chef__716b074cb7; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-cutting-rolls__5b13a3c368; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-flipping-knife__e4f39b7cc5; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-holding-platter__803f65197e; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-knife-and-fish__f5fc485566; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-preparing-roll__9d21a2d774; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-rolling-hosomaki__f167d63578; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-shaping-nigiri__27b23b7c83,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
swan,Swan Coloring Pages,11,swan,birds__birds-swan__7418cb8a85; birds__birds-swan-swimming__8481407363; chibi__chibi-plushie-swan__e05dfd1ed0; holiday__holiday-birthday-celebration-plushie-swan-family__3e45e30773; holiday__holiday-christmas-plushie-happy-swan-family__9403c676d7; holiday__holiday-christmas-plushie-swan-family__64ff0442f1; holiday__holiday-halloween-costume-plushie-swan-family__1385d69f48; mandala-geometry-patterns__mandala-geometry-patterns-japan-origami-swan__e37e072805,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
tower,Tower Coloring Pages,11,tower,chibi__chibi-dungeon-wizard-tower-room__f624d1911c; fantasy__fantasy-creatures-gargoyle-tower__91875c1695; fantasy__fantasy-owl-sorcerer-tower__32009ca6d6; fantasy__fantasy-sorcerer-tower__fd3f42dba3; fantasy__fantasy-wizard-tower-library__bbf0f2f24d; mandala-geometry-patterns__mandala-geometry-patterns-japan-tokyo-tower__9fc300e8a6; midieval__midieval-fantasy-princess-tower__5cdfb57b0e; midieval__midieval-fantasy-tower-keep__f0cc76796c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
treasure,Treasure Coloring Pages,11,treasure,chibi__chibi-dungeon-ancient-treasure-map__b52be3eb75; chibi__chibi-dungeon-dragon-guarding-treasure__ead3add052; chibi__chibi-dungeon-golden-treasure-idol__d5e14eb5b2; chibi__chibi-dungeon-hidden-treasure-behind-wall__a29b16128d; chibi__chibi-dungeon-hidden-treasure-room__3040a8b81c; chibi__chibi-dungeon-treasure-chest__3886a51c16; chibi__chibi-dungeon-treasure-guardian-statue__07f6607a26; chibi__chibi-dungeon-treasure-king__58f131ad63,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
treat,Treat Coloring Pages,11,treat,chibi__chibi-holiday-halloween-trick-or-treat-children-with-pumpkin-bags-colori__abe00661e0; chibi__chibi-holiday-halloween-trick-or-treat-dog-in-cute-costume-coloring-page__79fa5d8c2d; chibi__chibi-holiday-halloween-trick-or-treat-doorstep-with-carved-pumpkins-col__764a39620c; chibi__chibi-holiday-halloween-trick-or-treat-front-porch-decorated-coloring-pa__aad2950ba7; chibi__chibi-holiday-halloween-trick-or-treat-walkway-lined-with-lanterns-color__604d716265; chibi__chibi-holiday-halloween-zombie-with-torn-trick-or-treat-bag-coloring-pag__1862dece82; holiday__holiday-halloween-trick-or-treat-dog-in-cute-costume-coloring-page__1914e85657; holiday__holiday-halloween-trick-or-treat-front-porch-decorated-coloring-page__92e42d44a8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
trick-treat,Trick Treat Coloring Pages,11,trick treat,chibi__chibi-holiday-halloween-trick-or-treat-children-with-pumpkin-bags-colori__abe00661e0; chibi__chibi-holiday-halloween-trick-or-treat-dog-in-cute-costume-coloring-page__79fa5d8c2d; chibi__chibi-holiday-halloween-trick-or-treat-doorstep-with-carved-pumpkins-col__764a39620c; chibi__chibi-holiday-halloween-trick-or-treat-front-porch-decorated-coloring-pa__aad2950ba7; chibi__chibi-holiday-halloween-trick-or-treat-walkway-lined-with-lanterns-color__604d716265; chibi__chibi-holiday-halloween-zombie-with-torn-trick-or-treat-bag-coloring-pag__1862dece82; holiday__holiday-halloween-trick-or-treat-dog-in-cute-costume-coloring-page__1914e85657; holiday__holiday-halloween-trick-or-treat-front-porch-decorated-coloring-page__92e42d44a8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
walrus,Walrus Coloring Pages,11,walrus,animals__animals-walrus__9d072cd3d9; chibi__chibi-plushie-walrus__7b2c0e126a; holiday__holiday-birthday-celebration-plushie-walrus-family__3e6d6f5c72; holiday__holiday-christmas-plushie-walrus-family__da458fb93f; holiday__holiday-halloween-costume-plushie-walrus-family__b45df80fe0; mandala-geometry-patterns__mandala-geometry-patterns-plushie-walrus__4cc734e74c; mandala-geometry-patterns__mandala-geometry-patterns-plushie-walrus-animals__e951a709dc; plushie__plushie-walrus__6e11d6bad1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
angelfish,Angelfish Coloring Pages,10,angelfish,chibi__chibi-plushie-angelfish__4577f3eb39; holiday__holiday-birthday-celebration-plushie-angelfish-family__a79b6012eb; holiday__holiday-christmas-plushie-angelfish-family__cf957a69b5; holiday__holiday-halloween-costume-plushie-angelfish-family__69d0a12846; mandala-geometry-patterns__mandala-geometry-patterns-plushie-angelfish__96a455f575; plushie__plushie-angelfish__0a4b06df42; plushie__plushie-angelfish-family__95ff4d67e3; sea-life__sea-life-angelfish__49e6e4806c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
anime-girl-dragon,Anime Girl Dragon Coloring Pages,10,anime girl dragon,anime-girls__anime-girl-dragon-claw__9f1f434513; anime-girls__anime-girl-dragon-claw-armor__8fdc1c3258; anime-girls__anime-girl-dragon-crying__2be7c4458a; anime-girls__anime-girl-dragon-eggs-hoodie-plushie__b1747e4988; anime-girls__anime-girl-dragon-eggs-hoodie-plushie__f41a8578b5; anime-girls__anime-girl-dragon-hoodie-plushie__0492bac704; anime-girls__anime-girl-dragon-hoodie-plushie__89af7a2cf7; anime-girls__anime-girl-dragon-queen__8c2e2a124f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
archer,Archer Coloring Pages,10,archer,chibi__chibi-centaur-archer__f313ab1b5c; chibi__chibi-dungeon-fantasy-archer__fc5ed913af; chibi__chibi-dungeon-goblin-archer__c6f5735412; chibi__chibi-dungeon-skeleton-archer__4e7e721bcd; fantasy__fantasy-creatures-centaur-archer__906c4fd1a5; fantasy__fantasy-elf-moon-archer__565c967253; fantasy__fantasy-elven-archer-woods__771ec2ca36; mandala-geometry-patterns__mandala-geometry-patterns-japan-archer-in-kyudo-style__dabb6ca10c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
australian,Australian Coloring Pages,10,australian,anime-girls__anime-girl-summoning-australian-throny-devil-lizard__f64b34131c; anime-girls__anime-girl-summoning-australian-throny-devil-lizard-plushies__b0d3d85b97; chibi__chibi-animals-pets-dogs-australian-cattle-dog__9f36356469; chibi__chibi-animals-pets-dogs-australian-shepherd__30c890a81e; dogs__dogs-australian-cattle-dog__7b5008c2b1; dogs__dogs-australian-shepherd__799da4cea1; holiday__holiday-christmas-dogs-australian-shepherd__324967ed9d; mandala-geometry-patterns__mandala-geometry-patterns-dogs-australian-cattle-dog__0e812cdf03,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
blue-whale,Blue Whale Coloring Pages,10,blue whale,chibi__chibi-plushie-blue-whale__a89416a0fd; chibi__chibi-plushie-kawaii-blue-whale__564a15da70; holiday__holiday-birthday-celebration-plushie-blue-whale-family__6ff1eda4f1; holiday__holiday-christmas-plushie-blue-whale-family__74ad899045; holiday__holiday-halloween-costume-plushie-blue-whale-family__db12fb87f0; mandala-geometry-patterns__mandala-geometry-patterns-plushie-blue-whale__69178ba3b5; plushie__plushie-blue-whale__17d0990688; plushie__plushie-blue-whale-family__b536e62edd,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bull,Bull Coloring Pages,10,bull,anime-girls__anime-girl-bull-hoodie-anima-plushie__98a7f4acd1; anime-girls__anime-girl-bull-hoodie-plushie__3edf39627f; anime-girls__anime-girl-bull-hoodie-plushie-cosplay__e76780baaf; anime-girls__anime-girl-summoning-jutsu-bull-plushies__57ef669cf2; chibi__chibi-animals-pets-dogs-staffordshire-bull-terrier__7b8d7a0b1f; chibi__chibi-bull__8c78675ea7; dogs__dogs-bull-terrier__fedf3a0c2d; dogs__dogs-staffordshire-bull-terrier__2e64ac1b6d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
circle-fantasy,Circle Fantasy Coloring Pages,10,circle fantasy,fantasy__fantasy-glade-unicorn-circle__05ca04c26a; fantasy__fantasy-mage-rune-circle__74768d49e6; fantasy__fantasy-monk-meditation-circle__495b334334; fantasy__fantasy-paladin-oath-circle__fed1c13da0; fantasy__fantasy-rune-stone-circle__390378c793; fantasy__fantasy-sorceress-ice-circle__4867fd0117; fantasy__fantasy-unicorn-circle__b0c2653a9f; fantasy__fantasy-warlock-shadow-circle__79ee020f02,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
claus,Claus Coloring Pages,10,claus,christmas__christmas-holiday-santa-claus__5b583a26e7; christmas__holiday-christmas-mrs-claus-baking-holiday-cookies-coloring-page__4843cecb87; christmas__holiday-christmas-mrs-claus-serving-hot-cocoa-to-santa-coloring-page__2cabc1a43f; christmas__holiday-christmas-santa-claus-coming-down-chimney-coloring-page__2dd72cc61b; christmas__holiday-christmas-santa-claus-costume-coloring-page__597455887c; christmas__holiday-christmas-santa-claus-delivering-gifts-by-fireplace-coloring-pag__50a3731b97; christmas__holiday-christmas-santa-claus-delivering-gifts-in-sleigh-coloring-page__848c33a1ce; christmas__holiday-christmas-santa-claus-packing-toys-in-big-sack-coloring-page__7bc38b9ef7,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
