printable_id,route,prose_summary,missing_verified_fields,unapproved_candidates,review_reason
chibi__chibi-animals-pets-dogs-alaskan-malamute__17a510678c,/printables/animals/chibi-animals-pets-dogs-alaskan-malamute-17a510678c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-american-staffordshire-terrier__0d5f95f4f2,/printables/animals/chibi-animals-pets-dogs-american-staffordshire-terrier-0d5f95f4f2,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-anatolian-shepherd-dog__c82c00bae3,/printables/animals/chibi-animals-pets-dogs-anatolian-shepherd-dog-c82c00bae3,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-australian-cattle-dog__9f36356469,/printables/animals/chibi-animals-pets-dogs-australian-cattle-dog-9f36356469,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-australian-shepherd__30c890a81e,/printables/animals/chibi-animals-pets-dogs-australian-shepherd-30c890a81e,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-basenji__b3df50ea92,/printables/animals/chibi-animals-pets-dogs-basenji-b3df50ea92,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-beagle__66a9b9dc9e,/printables/animals/chibi-animals-pets-dogs-beagle-66a9b9dc9e,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-belgian-malinois__05d5243abd,/printables/animals/chibi-animals-pets-dogs-belgian-malinois-05d5243abd,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-belgian-tervuren__35d5373d78,/printables/animals/chibi-animals-pets-dogs-belgian-tervuren-35d5373d78,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-bernese-mountain-dog__2be9008a10,/printables/animals/chibi-animals-pets-dogs-bernese-mountain-dog-2be9008a10,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-bichon-frise__01192dc10b,/printables/animals/chibi-animals-pets-dogs-bichon-frise-01192dc10b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-bloodhound__36d4af24b2,/printables/animals/chibi-animals-pets-dogs-bloodhound-36d4af24b2,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-border-collie__d66dc03111,/printables/animals/chibi-animals-pets-dogs-border-collie-d66dc03111,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-border-terrier__43cfd795ea,/printables/animals/chibi-animals-pets-dogs-border-terrier-43cfd795ea,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-borzoi__20102e12a0,/printables/animals/chibi-animals-pets-dogs-borzoi-20102e12a0,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-boston-terrier__3232802ad1,/printables/animals/chibi-animals-pets-dogs-boston-terrier-3232802ad1,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-briard__f8f1a5d849,/printables/animals/chibi-animals-pets-dogs-briard-f8f1a5d849,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-bulldog__82dca02cef,/printables/animals/chibi-animals-pets-dogs-bulldog-82dca02cef,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-bullmastiff__77d489baa8,/printables/animals/chibi-animals-pets-dogs-bullmastiff-77d489baa8,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-cairn-terrier__7faba12ef3,/printables/animals/chibi-animals-pets-dogs-cairn-terrier-7faba12ef3,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-catahoula-leopard-dog__b255436134,/printables/animals/chibi-animals-pets-dogs-catahoula-leopard-dog-b255436134,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-cavalier-king-charles-spaniel__4c6f2c88bb,/printables/animals/chibi-animals-pets-dogs-cavalier-king-charles-spaniel-4c6f2c88bb,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-chesapeake-bay-retriever__96effd4b27,/printables/animals/chibi-animals-pets-dogs-chesapeake-bay-retriever-96effd4b27,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-chihuahua__e1b319483b,/printables/animals/chibi-animals-pets-dogs-chihuahua-e1b319483b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-chinese-crested__75a05177cb,/printables/animals/chibi-animals-pets-dogs-chinese-crested-75a05177cb,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-cocker-spaniel__2ced886556,/printables/animals/chibi-animals-pets-dogs-cocker-spaniel-2ced886556,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-collie__5980fb6203,/printables/animals/chibi-animals-pets-dogs-collie-5980fb6203,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-dachshund__1cea1c123c,/printables/animals/chibi-animals-pets-dogs-dachshund-1cea1c123c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-dalmatian__e5736bdcd7,/printables/animals/chibi-animals-pets-dogs-dalmatian-e5736bdcd7,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-daschund__a8a954e270,/printables/animals/chibi-animals-pets-dogs-daschund-a8a954e270,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-doberman-pinscher__ccf0b25f73,/printables/animals/chibi-animals-pets-dogs-doberman-pinscher-ccf0b25f73,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-english-mastiff__3c5e7719d4,/printables/animals/chibi-animals-pets-dogs-english-mastiff-3c5e7719d4,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-english-springer-spaniel__6e6be10dc9,/printables/animals/chibi-animals-pets-dogs-english-springer-spaniel-6e6be10dc9,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-french-bulldog__f72835a638,/printables/animals/chibi-animals-pets-dogs-french-bulldog-f72835a638,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-german-shepherd__6cfd6cf5e2,/printables/animals/chibi-animals-pets-dogs-german-shepherd-6cfd6cf5e2,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-golden-retriever__ac1272e4ed,/printables/animals/chibi-animals-pets-dogs-golden-retriever-ac1272e4ed,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-great-dane__804a94db86,/printables/animals/chibi-animals-pets-dogs-great-dane-804a94db86,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-great-pyrenees__6664477fb6,/printables/animals/chibi-animals-pets-dogs-great-pyrenees-6664477fb6,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-havanese__9e0637efcd,/printables/animals/chibi-animals-pets-dogs-havanese-9e0637efcd,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
